Loop Target Address     , CountSeen        , CountLoopInvoked   , MeanTaken   , DiffCount   , Routine Name      , Routine Address      , Routine Invocations Count
0x7fb2d318c0cf, 1, 0, 0, 0, memchr, 0x7fb2d318b860, 0
0x7fb2d3191479, 1, 1, 1, 0, memccpy, 0x7fb2d31913a0, 0
0x7fb2d31c5485, 1, 1, 1, 0, readdir, 0x7fb2d31c5420, 18
0x7fb2d31cb038, 1, 0, 0, 0, __sysconf, 0x7fb2d31caf70, 1
0x7fb2d31f3a30, 1, 0, 0, 0, posix_madvise, 0x7fb2d31f3900, 0
0x7fb2d31f9ea1, 1, 3, 0, 1, __sbrk, 0x7fb2d31f9e80, 5
0x7fb2d31f9eb2, 1, 1, 1, 0, __sbrk, 0x7fb2d31f9e80, 5
0x7fb2d3202c6d, 1, 0, 0, 0, get_nprocs_conf, 0x7fb2d3202c30, 1
0x7fb2d34cca70, 1, 1, 1, 0, register_tm_clones, 0x7fb2d34cca70, 1
0x7fb2d37153fa, 1, 1, 1, 0, .text, 0x7fb2d37141b0, 0
