Image Address     , Image Name        , Routine Address   , Routine Name      , Instructions Count
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a7a00, _init, 6
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a7ac0, _ZSt9has_facetISt7num_getIcSt19istreambuf_iteratorIcSt11char_traitsIcEEEEbRKSt6locale@plt, 6
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a7b10, _ZSt9use_facetISt5ctypeIwEERKT_RKSt6locale@plt, 6
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a7b80, _ZSt9use_facetISt5ctypeIcEERKT_RKSt6locale@plt, 6
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a7f10, _ZSt9use_facetISt7num_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEEERKT_RKSt6locale@plt, 6
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a82a0, _ZSt9has_facetISt7num_putIwSt19ostreambuf_iteratorIwSt11char_traitsIwEEEEbRKSt6locale@plt, 6
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a8660, _ZSt9has_facetISt5ctypeIwEEbRKSt6locale@plt, 6
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a9dc0, _ZSt9has_facetISt7num_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEEEbRKSt6locale@plt, 6
0x7fee99706000, libgcc_s.so.1, 0x7fee99708790, _init, 6
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0aa9b0, _ZNSt9basic_iosIwSt11char_traitsIwEE15_M_cache_localeERKSt6locale@plt, 6
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0aaaa0, _ZSt9has_facetISt5ctypeIcEEbRKSt6locale@plt, 6
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0aa540, _ZSt9use_facetISt7num_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEEERKT_RKSt6locale@plt, 6
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0aa090, _ZNSt9basic_iosIcSt11char_traitsIcEE4initEPSt15basic_streambufIcS1_E@plt, 6
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a9be0, _ZSt9use_facetISt7num_putIwSt19ostreambuf_iteratorIwSt11char_traitsIwEEEERKT_RKSt6locale@plt, 6
0x7fee99935000, libm.so.6, 0x7fee9993a428, _init, 6
0x7fee9a021000, libstdc++.so.6, 0x7fee9a10aba0, _ZN9__gnu_cxx18stdio_sync_filebufIwSt11char_traitsIwEE4syncEv, 6
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a9710, _ZSt9has_facetISt7num_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEEEbRKSt6locale@plt, 6
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a98a0, _ZNSt9basic_iosIwSt11char_traitsIwEE4initEPSt15basic_streambufIwS1_E@plt, 6
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0aa220, _ZNSt9basic_iosIcSt11char_traitsIcEE15_M_cache_localeERKSt6locale@plt, 6
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a8490, _ZNSt3_V214error_categoryD2Ev@plt, 5
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0aa270, _ZNSt13basic_ostreamIwSt11char_traitsIwEE5flushEv@plt, 5
