Image Address     , Image Name        , Routine Address   , Routine Name      , Instructions Count
0x7fee9a021000, libstdc++.so.6, 0x7fee9a145d60, _ZSt9use_facetISt5ctypeIwEERKT_RKSt6locale, 76
0x7fee9a021000, libstdc++.so.6, 0x7fee9a146770, _ZSt9use_facetISt7num_putIwSt19ostreambuf_iteratorIwSt11char_traitsIwEEEERKT_RKSt6locale, 76
0x7fee9a021000, libstdc++.so.6, 0x7fee9a1467c0, _ZSt9use_facetISt7num_getIwSt19istreambuf_iteratorIwSt11char_traitsIwEEEERKT_RKSt6locale, 76
0x7fee99c3e000, libc.so.6, 0x7fee99d352b0, write, 70
0x7fee9a021000, libstdc++.so.6, 0x7fee9a10ae90, _ZN9__gnu_cxx18stdio_sync_filebufIcSt11char_traitsIcEE8overflowEi, 60
0x7fee99c3e000, libc.so.6, 0x7fee99c5e740, __libc_start_main, 58
0x7fee99c3e000, libc.so.6, 0x7fee99cc2130, __libc_malloc, 58
0x7fee99c3e000, libc.so.6, 0x7fee99ccb400, rindex, 54
0x7fee9a021000, libstdc++.so.6, 0x7fee9a123ed0, _ZNKSt7num_putIcSt19ostreambuf_iteratorIcSt11char_traitsIcEEE6do_putES3_RSt8ios_basecl, 50
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a9e00, __dynamic_cast@plt, 50
0x7fee99c3e000, libc.so.6, 0x7fee99d3ae80, __sbrk, 49
0x7fee99c3e000, libc.so.6, 0x7fee99cb8730, _IO_file_overflow, 48
0x7fee9a021000, libstdc++.so.6, 0x7fee9a131750, _ZNSt13basic_ostreamIwSt11char_traitsIwEE5flushEv, 42
0x7fee99c3e000, libc.so.6, 0x7fee99c6b8b0, uselocale, 42
0x400000, loop_test_simple, 0x400960, __libc_csu_init, 41
0x7fee99935000, libm.so.6, 0x7fee9993a600, .text, 38
0x7fee99c3e000, libc.so.6, 0x7fee99c6ab80, __newlocale, 37
0x7feeadb34000, ld-linux-x86-64.so.2, 0x7feeadb34a70, __libc_memalign@plt, 36
0x7fee99c3e000, libc.so.6, 0x7fee99cab180, _IO_file_doallocate, 36
0x7feeadb34000, ld-linux-x86-64.so.2, 0x7feeadb34a80, malloc@plt, 35
0x7feeadb34000, ld-linux-x86-64.so.2, 0x7feeadb48c00, _dl_find_dso_for_object, 35
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0aea90, __cxa_guard_acquire, 33
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0aaa80, _ZNSo6sentryC1ERSo@plt, 32
0x7fee9a021000, libstdc++.so.6, 0x7fee9a0a90f0, _ZNSt6locale5_Impl16_M_install_facetEPKNS_2idEPKNS_5facetE@plt, 32
0x7fee99c3e000, libc.so.6, 0x7fee99c731b0, __sigsetjmp, 28
0x7fee9a021000, libstdc++.so.6, 0x7fee9a10ab90, _ZN9__gnu_cxx18stdio_sync_filebufIcSt11char_traitsIcEE4syncEv, 26
0x7fee99c3e000, libc.so.6, 0x7fee99d3ae10, brk, 24
